"Variable","Estimate","IRR","CI_Lower","CI_Upper","p_Value"
"(Intercept)",3.22917937101755,25.2589202615223,3.72875166079206,171.106340893299,0.000938530900285975
"Surveyed_HabitatIndividual or Aggregated Patch Reef",-1.68516051951596,0.185414666894516,0.0258619715614242,1.32931082295688,0.0935896898473734
"Surveyed_HabitatPavement",-2.08213188405182,0.124664159169477,0.00696097024435099,2.23261298869145,0.157244106753295
"Surveyed_HabitatScattered Coral/Rock in Unconsolidated Sediment",-2.75757039844622,0.0634457290942736,0.00538634664379524,0.747326677339071,0.0284184693908109
"Surveyed_HabitatSeagrass (Continuous)",-1.65584214882315,0.190931195499262,0.0252593393304471,1.44321753383453,0.108603784823652
"Surveyed_HabitatSeagrass (Discontinuous)",-0.90272940580899,0.405461479174744,0.0379391105840811,4.33323313497897,0.455146565286251
"Surveyed_HabitatUnconsolidated Sediment",-0.258692590634787,0.772060325141849,0.0914182104998364,6.52033268206671,0.812158688150683
"Mangrove_Dist",0.651468236379902,1.91835536144008,1.27550130191673,2.88520857425682,0.00175633196003899
"Reef_Dist",0.0241008783372991,1.02439365180679,0.64706204032226,1.62176466624348,0.91810449055687
"Depth",1.40733427700363,4.08505126172706,2.02172906182362,8.2541444974261,8.79652003435785e-05
"Slope",0.183175170870121,1.20102477421002,0.924423726536909,1.56038888537619,0.170195788650488
"BPI_Broad",-0.837230698951799,0.4329077167634,0.278988980799713,0.671743703626209,0.000187729872255717
"Mean_Sum_Temp",-0.00615988911633178,0.993859044105168,0.705491111666897,1.40009673150356,0.971896296828606
"Mean_Sum_Sal",0.434828536971228,1.54469817761524,1.13650010276165,2.09950923376928,0.00548236826293656
"Mean_Win_Temp",0.44922688692479,1.56710017140589,1.1438041320353,2.14704850108426,0.00516804793045668
"Mean_Win_Sal",-0.0490233751290894,0.952158872601814,0.616010621073038,1.47173845329992,0.825365202825884
"Patch_Area",-0.790452858187886,0.453639314481126,0.243555140724383,0.844936497874151,0.0127391267805199
"PA_Ratio",-0.150183048568073,0.86055043948134,0.507942152788141,1.45793581971214,0.576613110621657
"Patch_Neigh_Dist",0.364929481627198,1.440412429027,1.13128748608115,1.83400593679566,0.00306791381741876
"Area_CRHB",0.202515715943377,1.2244793288185,0.899451528398904,1.66695989651911,0.198196515894795
"Area_SG",0.554229968437271,1.7406001515436,1.22070019994504,2.48192708389004,0.00220118662752005
"Pred_Density",0.020400470807272,1.02060998270025,0.838180295588958,1.2427454358796,0.83909672744465
"Log(theta)",0.490959363872179,1.63388295657987,0.940449409209247,2.83861469810142,0.0814847414606113
