"Variable","Estimate","IRR","CI_Lower","CI_Upper","p_Value"
"(Intercept)",-9.49523451948893,7.52093861111865e-05,0,Inf,0.990943641468821
"Surveyed_HabitatIndividual or Aggregated Patch Reef",10.2379079859361,27942.6084080658,0,Inf,0.990235331136849
"Surveyed_HabitatPavement",11.3442649578268,84479.5656798663,0,Inf,0.989180175662217
"Surveyed_HabitatScattered Coral/Rock in Unconsolidated Sediment",11.3029772886204,81062.6254493056,0,Inf,0.989219574804141
"Surveyed_HabitatSeagrass (Continuous)",10.4655655328537,35086.2829123514,0,Inf,0.990018208453502
"Surveyed_HabitatSeagrass (Discontinuous)",8.68626769123256,5921.04179471485,0,Inf,0.991715192950365
"Surveyed_HabitatUnconsolidated Sediment",16.9726439474838,23503124.964438,0,Inf,0.983812604971873
"Mangrove_Dist",-0.105038288897777,0.900290050812602,0.46260130155739,1.75209661724569,0.757176493559216
"Reef_Dist",0.380204323942151,1.46258339971209,0.64543633030212,3.31426989880175,0.362313163261387
"Depth",0.0405327771836059,1.04136544216943,0.340246931373465,3.18722046887299,0.943381763861843
"Slope",0.462137900136224,1.58746419966171,0.999219505740091,2.52201100031677,0.0503834447774035
"BPI_Broad",-0.299986349830717,0.740828333044856,0.326156946270562,1.68270713016409,0.473559552821777
"Mean_Sum_Temp",0.208570385078238,1.23191563548791,0.748680055369952,2.027055645565,0.411728034500274
"Mean_Sum_Sal",0.582519459148461,1.79054395497274,1.17635318784325,2.72541247630523,0.00657225240117755
"Mean_Win_Temp",0.679899631377311,1.97367962678306,1.16771371902181,3.33593003638057,0.0111167188074136
"Mean_Win_Sal",0.277302074662341,1.31956491796349,0.706508449384648,2.46458704667522,0.384297115762766
"Patch_Area",-0.1930226571487,0.82446329394004,0.280803146564488,2.42069838379947,0.725400454548481
"PA_Ratio",0.212189173214326,1.23638175326741,0.543800845273968,2.81102880419845,0.612615709316625
"Patch_Neigh_Dist",0.0783028707655355,1.08145014870843,0.820058344136994,1.42616001959259,0.579105427440893
"Area_CRHB",-0.528033196325211,0.589763779297673,0.300961400151412,1.1557007483235,0.123950206958455
"Area_SG",0.978030512926389,2.65921379396405,1.44867183734671,4.88131115668006,0.0015991459951144
"Pred_Density",0.386821785570835,1.47229408384172,1.17915718145365,1.83830442913733,0.000638178129421635
"Log(theta)",0.809007511806595,2.24567807130522,0.924945285802593,5.45229007309892,0.0738400007047424
