OID_,Join_Count,Survey_to_Reef_Dist,TARGET_FID,SPECIES_CD,LIFE_STAGE,PRES,PRES2,N,SOURCE,LON_M,LAT_M,Habitat,Mangrove_Dist,Depth,StDev_Depth,Slope,Curvature,Plan_Curve,BPI_Fine,BPI_Broad,Rugosity,Mean_Sum_Temp,Mean_Sum_DO,Mean_Sum_Sal,Mean_Win_Temp,Mean_Win_DO,Mean_Win_Sal,OBJECTID_1,Source_1,Zone_,GeoForm,GeoformDet,GeoformD_1,BioCover,BioCoverDe,PercentBio,PercentCor,CMECS_Geo,CMECS_Bio,ClassLv0,ClassLv1,ClassLv2,ClassLv3,ClassLv4,Shape_Leng,AREA,PERIMETER,PA_Ratio,NEAR_FID,NEAR_DIST,Patch_ID,Coral_Reef_and_Hardbottom,Not_Classified,Seagrass,Unconsolidated_Sediment,Reef_Dist
1,1,0.000000000000000,7,LUT GRIS,SUBADULT,1,PRESENCE,0.500000000000000,REEF VISUAL CENSUS,150315.846099999995204,22962.798309999998310,1,8557.213867000000391,-8.257291794000000,0.043874267000000,0.605952382000000,0.022029877000000,0.032504320000000,-9,64,1.000001311000000,30.403825760000000,6.103019714000000,35.829212190000000,24.378639220000000,6.866655350000000,36.022693629999999,0,Unified Patch Reef Map v1.3, ,Coral Reef and Hardbottom,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,1357.402382100000068,103615.081618421216263,1357.581467322134358,76.323288224319,916,585.418293019237467,791,122971.423356299477746,,359905.727608417568263,302518.860160243813880,1130.0000000
2,1,0.000000000000000,8,LUT GRIS,SUBADULT,1,PRESENCE,20.000000000000000,REEF VISUAL CENSUS,150351.256699999998091,22948.273209999999381,3,8557.716796999999133,-8.318786620999999,0.049368981000000,0.691472411000000,-0.091686249000000,-0.053888708000000,-9,64,1.000001550000000,30.403629299999999,6.103263378000000,35.832450870000002,24.379116060000001,6.866279125000000,36.025547029999998,0,Unified Patch Reef Map v1.3, ,Coral Reef and Hardbottom,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,1357.402382100000068,103615.081618421216263,1357.581467322134358,76.323288224319,916,585.418293019237467,791,128910.259681579322205,,341619.025697836070322,314867.112477355927695,1129.4974365
3,1,13.936058094129836,10,LUT GRIS,SUBADULT,1,PRESENCE,0.500000000000000,REEF VISUAL CENSUS,196796.298199999990175,35819.431470000003173,8,6855.026855000000069,-6.783575535000000,0.019589148000000,0.272412539000000,-0.013307571000000,-0.012723570000000,-9,64,1.000000119000000,30.507810589999998,6.086900234000000,35.510974879999999,23.801361080000000,6.939804554000000,35.785770419999999,0,Unified Patch Reef Map v1.3, ,Coral Reef and Hardbottom,Aggregated Patch Reef, , , , , ,G_B_S_AP,B_R_S__S,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Aggregated Patch Reef,Aggregated Patch Reef,230.563024745000007,2924.034692367033131,230.521650352213101,12.6844254667595,627,88.375096670010606,628,281587.330459076038096,,392056.713193429575767,111752.475184320210246,682.9899292
4,1,3.971729982732815,12,LUT GRIS,SUBADULT,1,PRESENCE,7.663000000000000,REEF VISUAL CENSUS,274870.689799999992829,90390.885320000001229,5,10291.625000000000000,-7.844418049000000,0.057571668000000,0.806470156000000,0.135898590000000,0.079809532000000,-9,282,1.000004053000000,30.186607360000000,6.172687531000000,35.529426569999998,23.899068830000001,6.875248432000000,36.367507930000002,0,Unified Patch Reef Map v1.3, ,Coral Reef and Hardbottom,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,72.871846860500000,381.967202292357456,72.770965969503337,5.24889558910667,5574,414.953569117313748,5573,490521.152081504813395,,,294875.296908491756767,154.3502960
5,1,0.000000000000000,33,LUT GRIS,SUBADULT,1,PRESENCE,3.125000000000000,REEF VISUAL CENSUS,202646.701700000005076,37261.427600000002712,1,7864.726563000000169,-8.218790053999999,0.130347878000000,1.834642649000000,-0.188999176000000,-0.105761044000000,-9,64,1.000011444000000,30.430129999999998,6.119353294000000,35.720314029999997,23.803682330000001,6.886626244000000,35.956809999999997,0,Unified Patch Reef Map v1.3, ,Coral Reef and Hardbottom,Aggregated Patch Reef, , , , , ,G_B_S_AP,B_R_S__S,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Aggregated Patch Reef,Aggregated Patch Reef,605.727691962999984,16186.220780157298577,605.332563705162215,26.7393855058508,1011,21.961446739907377,1012,86183.723682268406264,345.643946609793659,42721.352790158831340,625168.565977411344647,242.7817535
6,1,0.000000000000000,42,LUT GRIS,SUBADULT,1,PRESENCE,0.500000000000000,REEF VISUAL CENSUS,280750.665299999993294,104697.492499999993015,1,8432.671875000000000,-9.536453247000001,0.067440435000000,0.922075510000000,0.305282593000000,0.125480548000000,-9,64,1.000014782000000,30.342437740000001,6.160522938000000,35.595661159999999,23.686096190000001,6.894586563000000,36.390125269999999,0,Keys NOAA,Lagoon,Coral Reef and Hardbottom,Individual Patch Reef, ,Algae, ,50%-90%,10%-50%,G_B_S_P_I,B_A_B__P,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,"Individual Patch Reef, Algae (Discontinuous)",413.873651861999974,10253.558654009753809,413.818496482267960,24.7779128800955,5304,387.562069755529478,4429,10253.558653975807829,,,775142.638600081088953,925.6244507
7,1,0.000000000000000,43,LUT GRIS,SUBADULT,1,PRESENCE,3.000000000000000,REEF VISUAL CENSUS,171576.029700000013690,28146.830789999999979,1,7907.192871000000196,-9.648793221000000,0.002876230000000,0.039683770000000,-0.009353638000000,-0.002641272000000,-9,-8,0.999999940000000,30.438453670000001,6.095007896000000,35.517475130000001,24.154193880000001,6.906454086000000,35.983718869999997,0,Unified Patch Reef Map v1.3, ,Coral Reef and Hardbottom,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,449.031946791999985,8366.943697316697580,448.995606928508323,18.6348008047413,1053,142.812166219897563,974,38196.655900491183274,,,747199.350374358473346,3138.0507812
8,1,7.881685107925371,44,LUT GRIS,SUBADULT,1,PRESENCE,2.750000000000000,REEF VISUAL CENSUS,171510.193399999989197,28144.749889999999141,5,7934.116699000000153,-9.593432426000000,0.005915147000000,0.082636759000000,-0.001884460000000,0.001268652000000,-9,-8,1.000000119000000,30.438350679999999,6.095212936000000,35.519409179999997,24.158100130000001,6.905711651000000,35.984783170000000,0,Unified Patch Reef Map v1.3, ,Coral Reef and Hardbottom,Individual Patch Reef, , , , , ,G_B_S_P_I,B_R_S_C,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,Individual Patch Reef,449.031946791999985,8366.943697316697580,448.995606928508323,18.6348008047413,1053,142.812166219897563,974,44050.471133975268458,,,741345.923926526331343,3203.0507812
9,1,2.612843561268102,47,LUT GRIS,SUBADULT,1,PRESENCE,0.500000000000000,REEF VISUAL CENSUS,241680.385700000013458,59833.533040000002075,2,8695.979492000000391,-7.880175114000000,0.029698100000000,0.415979415000000,-0.027622223000000,-0.027536597000000,-9,64,1.000000358000000,30.506670000000000,6.107092381000000,35.520008089999997,24.345262529999999,6.902238369000000,36.155204769999997,0,Keys NOAA,Back Reef,Coral Reef and Hardbottom,Individual Patch Reef, ,Algae, ,50%-90%,10%-50%,G_B_S_P_I,B_A_B__P,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,"Individual Patch Reef, Algae (Discontinuous)",283.465565535999986,3085.253510721357998,283.312613633075216,10.8899264002313,1201,63.420228894063371,1202,77681.025619417472626,,,707715.325934806955047,1714.0664062
10,1,3.092480615264719,48,LUT GRIS,SUBADULT,1,PRESENCE,1.000000000000000,REEF VISUAL CENSUS,241701.545699999987846,59853.535250000000815,2,8667.695313000000169,-7.787581444000000,0.025547029000000,0.352603257000000,0.107717514000000,0.034294002000000,-9,64,1.000002146000000,30.507068629999999,6.107041836000000,35.519439700000000,24.344682689999999,6.902513027000000,36.155258179999997,0,Keys NOAA,Back Reef,Coral Reef and Hardbottom,Individual Patch Reef, ,Algae, ,50%-90%,10%-50%,G_B_S_P_I,B_A_B__P,Coral Reef and Hardbottom,Individual or Aggregated Patch Reef,Individual or Aggregated Patch Reef,Individual Patch Reef,"Individual Patch Reef, Algae (Discontinuous)",283.465565535999986,3085.253510721357998,283.312613633075216,10.8899264002313,1201,63.420228894063371,1202,83935.502924986096332,,,701460.210564322303981,1742.3507080
